,2000_cases,2001_cases,2002_cases,2003_cases,2004_cases,2005_cases,2006_cases,2007_cases,2008_cases,2009_cases,2010_cases,2011_cases,2012_cases,2013_cases,2014_cases,2015_cases,2016_cases,2017_cases,2018_cases,2019_cases,2020_cases,2021_cases,2022_cases,2000_pop,2001_pop,2002_pop,2003_pop,2004_pop,2005_pop,2006_pop,2007_pop,2008_pop,2009_pop,2010_pop,2011_pop,2012_pop,2013_pop,2014_pop,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop,2020_pop,2021_pop,2022_pop
BHUTAN,0.0,0.0,0.0,0.0,2579.0,19.0,480.0,86.0,73.0,351.0,874.0,712.0,1101.0,111.0,0.0,0.0,550.0,87.0,28.0,5480.0,16.0,5.0,,145.753,156.124,167.186,178.853,191.026,203.329,213.178,223.048,232.967,242.986,253.171,263.512,273.865,284.174,294.412,304.542,314.54,324.393,334.138,343.81,353.445,363.051,372.601
BOLIVIA,118.0,340.0,892.0,6548.0,7390.0,4292.0,2040.0,7332.0,3181.0,84047.0,5191.0,26681.0,42704.0,13266.0,22409.0,27099.0,34786.0,19990.0,15320.0,21567.0,109498.0,8947.0,17036.0,5152.761,5293.779,5432.803,5572.387,5713.426,5855.799,5999.605,6144.724,6291.277,6439.188,6588.702,6739.752,6892.356,7040.847,7187.241,7334.993,7484.135,7634.445,7786.488,7940.041,8094.974,8251.182,8408.607
BRAZIL,239929.0,413067.0,780644.0,341902.0,112928.0,203789.0,346550.0,559954.0,561659.0,528883.0,1004392.0,764032.0,581840.0,1478215.0,586774.0,1695323.0,2220482.0,512827.0,470269.0,2253883.0,1446298.0,975474.0,2226895.0,142319.507,144960.898,147507.76,150005.145,152448.284,154831.64,157151.283,159407.919,161617.285,163798.431,165969.018,168150.255,170322.118,172471.366,174585.878,176653.7,178669.587,180633.872,182546.459,184407.548,186217.07,187973.657,189675.703
BRUNEI DARUSSALAM,0.0,0.0,26.0,160.0,36.0,68.0,68.0,18.0,32.0,33.0,299.0,25.0,290.0,2434.0,872.0,317.0,84.0,75.0,,,,,,237.146,243.701,249.902,255.928,261.711,267.16,272.24,276.993,281.601,286.323,291.344,296.733,302.434,308.33,314.263,320.102,325.818,331.434,336.97,342.428,347.838,353.19,358.463
CAMBODIA,3148.0,10569.0,12471.0,12081.0,10049.0,9042.0,16669.0,39851.0,9823.0,11699.0,12500.0,31337.0,42352.0,34835.0,7401.0,30466.0,14689.0,9698.0,34871.0,136871.0,11792.0,1903.0,12581.0,2258.686,2319.592,2377.808,2434.015,2489.279,2544.414,2599.647,2655.04,2716.606,2808.171,2903.806,3003.941,3108.642,3217.184,3328.914,3443.036,3559.463,3678.035,3799.521,3923.699,4050.459,4179.681,4311.303
CAYMAN ISLANDS,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,8.0,2.0,53.0,69.0,,2.0,0.0,0.0,,28.0,32.0,0.0,0.0,41.687,43.316,44.738,46.028,47.299,48.622,50.031,51.483,52.926,54.279,55.507,56.579,57.523,58.371,59.172,59.963,60.765,61.559,62.348,63.129,63.89,64.643,65.393
CHILE,,,636.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,32.0,44.0,,6.0,,0.0,18.0,29.0,9.0,0.0,0.0,13137.147,13338.71,13531.017,13692.735,13853.19,14012.965,14172.436,14331.35,14489.014,14644.416,14796.864,14946.058,15092.261,15235.827,15377.43,15517.478,15657.149,15796.168,15934.214,16070.807,16205.574,16338.316,16469.065
CHINA,806.0,740.0,2719.0,93.0,247.0,40.0,1315.0,539.0,365.0,562.0,223.0,107.0,157.0,9940.0,94376.0,7086.0,3958.0,11523.0,10172.0,44505.0,558.0,0.0,487.0,460377.048,478841.638,499010.479,519610.28,540635.912,561983.323,583095.08,604219.506,625674.528,647369.562,669353.557,690723.821,711866.793,733059.486,754262.825,775352.918,796289.491,816957.613,837022.095,856409.297,875075.919,892977.294,910080.75
COLOMBIA,,,382.0,,1614.0,1938.0,5585.0,44624.0,35784.0,51946.0,160265.0,31133.0,56627.0,125367.0,104877.0,95841.0,99977.0,25503.0,44706.0,125670.0,73981.0,50106.0,66758.0,29881.676,30487.256,31095.113,31702.982,32308.146,32907.507,33500.567,34086.957,34665.95,35236.954,35799.432,36352.643,36896.07,37429.791,37954.174,38469.351,38975.181,39471.097,39956.413,40430.278,40891.996,41341.142,41777.604
COOK ISLANDS,0.0,21.0,2256.0,1.0,4.0,0.0,468.0,1224.0,11.0,170.0,0.0,,,,946.0,,0.0,1.0,3.0,260.0,259.0,2.0,3.0,11.814,12.258,12.75,13.239,13.684,13.999,14.17,14.14,13.974,13.773,13.585,13.421,13.272,13.142,13.048,12.983,12.968,13.006,13.067,13.144,13.223,13.289,13.358
COSTA RICA,4907.0,9237.0,12251.0,19669.0,9408.0,37798.0,12124.0,26440.0,7160.0,6946.0,31773.0,13854.0,19880.0,50232.0,10901.0,17394.0,23319.0,8918.0,2718.0,9472.0,9955.0,5174.0,7110.0,2318.04,2414.449,2509.17,2602.647,2695.954,2789.638,2884.089,2978.843,3073.616,3167.613,3260.59,3352.266,3441.56,3528.389,3612.971,3695.43,3775.78,3853.956,3929.845,4003.302,4074.214,4142.55,4208.353
DOMINICA,15.0,5.0,0.0,0.0,4.0,11.0,19.0,111.0,80.0,2.0,635.0,40.0,3.0,197.0,,0.0,70.0,0.0,0.0,46.0,1.0,0.0,1.0,45.474,45.552,45.867,46.257,46.66,47.038,47.372,47.68,47.976,48.292,48.647,49.047,49.483,49.943,50.42,50.906,51.392,51.881,52.375,52.863,53.355,53.833,54.312
DOMINICAN REPUBLIC,3462.0,3596.0,3194.0,6163.0,2476.0,2860.0,6143.0,9628.0,4333.0,8292.0,11519.0,2339.0,9505.0,16709.0,6068.0,17048.0,6645.0,1367.0,1602.0,20323.0,3776.0,3746.0,9626.0,5287.718,5441.366,5597.091,5793.592,6008.254,6223.375,6439.091,6654.957,6870.795,7085.768,7300.054,7503.01,7697.696,7890.775,8082.262,8271.702,8458.941,8643.423,8823.303,8998.444,9168.876,9334.544,9495.433
ECUADOR,22937.0,10919.0,5833.0,10319.0,6165.0,12131.0,6044.0,105887.0,1894.0,4489.0,1042.0,7659.0,16544.0,11733.0,15460.0,42473.0,14159.0,11331.0,3140.0,8480.0,19803.0,20829.0,15760.0,7614.955,7814.356,7989.423,8148.667,8310.299,8476.093,8646.883,8822.087,9000.784,9181.295,9362.55,9539.093,9712.551,9886.31,10060.527,10235.174,10410.121,10585.047,10762.37,10941.934,11123.641,11307.417,11493.241
EL SALVADOR,3248.0,1176.0,18307.0,7436.0,13344.0,15290.0,22088.0,12476.0,5774.0,15040.0,22406.0,20836.0,43861.0,29141.0,53196.0,49892.0,8789.0,4402.0,8333.0,27362.0,5334.0,5633.0,15339.0,3456.741,3511.901,3564.991,3616.425,3666.871,3716.729,3766.348,3818.861,3890.916,3962.815,4034.898,4107.2,4179.885,4252.778,4326.112,4399.797,4473.087,4545.804,4617.807,4688.788,4758.508,4826.802,4893.661
FIJI,14.0,3.0,0.0,16.0,2.0,0.0,25.0,100.0,1895.0,374.0,8.0,,618.0,704.0,,,398.0,5847.0,9389.0,5360.0,1817.0,929.0,8674.0,388.64,393.266,397.18,400.844,404.911,409.85,415.891,422.892,431.333,440.111,448.644,456.81,464.716,472.461,480.253,488.237,496.431,504.742,513.116,521.393,529.489,537.363,545.034
FRENCH GUIANA,186.0,2830.0,280.0,2178.0,3147.0,4365.0,15930.0,661.0,460.0,11330.0,4350.0,667.0,662.0,16263.0,0.0,451.0,15.0,0.0,0.0,275.0,8734.0,1756.0,,129.081,135.664,142.999,150.718,158.29,165.336,171.697,177.484,182.928,188.401,194.192,200.355,206.818,213.495,220.258,226.996,233.712,240.441,247.195,254.008,260.877,267.83,274.839
